0 -2.77093e-06 5.47271e-12 1.07142e-06 -0.000149988 0.000859437 -5.51657e-05 9.05031e-06 2 1.5 -0.000149989 0.000377982 0.00286479 -0.000481455 0.00291995 0.000525071 0.00175154 0.00710681 0.00150729
0.01 -1.10699e-05 8.73594e-11 4.27331e-06 -0.000597805 0.00341531 -0.00022138 3.62442e-05 2.00002 1.50002 -0.000597813 0.00151205 0.0113124 -0.00190325 0.0115338 0.00209146 0.00697711 0.0280694 0.00600912
0.02 -2.48692e-05 4.40935e-10 9.58084e-06 -0.00133916 0.00762302 -0.000499929 8.16665e-05 2.00004 1.50004 -0.00133919 0.0034026 0.0250554 -0.00422042 0.0255553 0.00468158 0.0156185 0.0621867 0.0134656
0.03 -4.41407e-05 1.38895e-09 1.69691e-05 -0.00236974 0.0134386 -0.000891812 0.0001454 2.00006 1.50008 -0.00236986 0.00605027 0.0438175 -0.00738833 0.0447093 0.00827803 0.0276175 0.108786 0.023837
0.04 -6.8856e-05 3.37889e-09 2.64131e-05 -0.00368526 0.0208187 -0.00139775 0.000227527 2.0001 1.50012 -0.00368554 0.00945592 0.0673341 -0.0113627 0.0687318 0.0128635 0.0429158 0.167223 0.0370842
0.05 -9.89866e-05 6.97987e-09 3.78876e-05 -0.00528142 0.0297204 -0.00201822 0.000328126 2.00014 1.50017 -0.00528198 0.0136206 0.0953507 -0.0160998 0.097369 0.0184209 0.061455 0.236879 0.053168
0.06 -0.000134503 1.28793e-08 5.13676e-05 -0.0071539 0.0401017 -0.00275346 0.000447273 2.00019 1.50024 -0.00715493 0.0185456 0.127624 -0.0215561 0.130377 0.0249331 0.0831769 0.31716 0.0720499
0.07 -0.000175377 2.1879e-08 6.68277e-05 -0.00929839 0.0519211 -0.00360346 0.000585045 2.00024 1.50031 -0.00930014 0.0242322 0.163919 -0.0276888 0.167522 0.0323834 0.108023 0.407498 0.0936913
0.08 -0.000221579 3.48917e-08 8.42427e-05 -0.0117106 0.0651375 -0.00456802 0.000741512 2.00031 1.50039 -0.0117133 0.0306821 0.204012 -0.0344554 0.20858 0.040755 0.135936 0.507347 0.118054
0.09 -0.000273079 5.29365e-08 0.000103587 -0.0143862 0.0797108 -0.00564674 0.000916744 2.00038 1.50047 -0.0143903 0.0378969 0.247688 -0.0418139 0.253335 0.0500313 0.166857 0.616186 0.145101
